Código [-],Município [-],UF [-],DC [2024],RCL [2024],CAPAG [2024]
5202353,Arenópolis,GO,6235761.79,33482616.05,n.d.
2401206,Arês,RN,27775916.08,74248066.88,C
3104403,Argirita,MG,2372370.42,29986012.21,A
3104452,Aricanduva,MG,97012.2,34042776.24,C
3104502,Arinos,MG,6252724.36,134523533.08,n.d.
5101407,Aripuanã,MT,0.0,192483904.41,A
1100023,Ariquemes,RO,50991772.88,471603765.26,B
3503703,Ariranha,SP,19002660.75,59051296.56,C
4101853,Ariranha do Ivaí,PR,1020328.95,29731998.11,C
3300233,Armação dos Búzios,RJ,36389749.85,560975445.21,n.e.
4201505,Armazém,SC,0.0,43214730.84,n.d.
2301505,Arneiroz,CE,11354467.05,42397357.03,C
2200905,Aroazes,PI,5910523.95,38980920.99,C
2501302,Aroeiras,PB,63486002.19,95782120.66,C
2200954,Aroeiras do Itaim,PI,7055.31,26024433.62,n.d.
2201002,Arraial,PI,937176.6,37867030.84,B
3300258,Arraial do Cabo,RJ,144355508.54,806595143.2,n.e.
1702406,Arraias,TO,8879877.56,50452653.44,C
4301008,Arroio do Meio,RS,13213995.58,165837773.86,C
4301073,Arroio do Padre,RS,0.0,27511559.17,A
4301057,Arroio do Sal,RS,3128180.78,99417422.87,B+
4301206,Arroio do Tigre,RS,11503017.54,60996103.57,B
4301107,Arroio dos Ratos,RS,40563672.21,73709075.56,C
4301305,Arroio Grande,RS,15890006.03,103894695.45,B
4201604,Arroio Trinta,SC,1669981.98,35365511.15,A
3503802,Artur Nogueira,SP,116349321.79,270948330.82,C
5202502,Aruanã,GO,5379869.63,61338776.96,B
3503901,Arujá,SP,33459469.32,560560494.17,C
4201653,Arvoredo,SC,2243373.53,33205866.46,A
4301404,Arvorezinha,RS,8972489.3,52544858.86,B+
4201703,Ascurra,SC,975950.47,41127760.92,C
3503950,Aspásia,SP,2412089.64,22324343.09,n.d.
4101903,Assaí,PR,9557756.28,80053337.28,A
2301604,Assaré,CE,25261274.59,115786162.69,A
3504008,Assis,SP,93021414.86,542038947.89,n.d.
1200054,Assis Brasil,AC,30681514.77,51349573.95,C
4102000,Assis Chateaubriand,PR,38614121.54,194053767.83,A
2501351,Assunção,PB,4754301.26,33402565.94,C
2201051,Assunção do Piauí,PI,4677450.12,45755184.39,n.d.
3104601,Astolfo Dutra,MG,10746380.16,60203071.78,B
4102109,Astorga,PR,14362293.66,134978819.55,A
2700409,Atalaia,AL,20861333.29,277024193.43,C
4102208,Atalaia,PR,448049.92,34321977.18,A
1300201,Atalaia do Norte,AM,3417733.14,122991799.46,C
4201802,Atalanta,SC,116472.26,31803455.56,A
3104700,Ataléia,MG,2694944.67,59716464.61,C
3504107,Atibaia,SP,203603067.53,1138251271.79,B
3200706,Atílio Vivácqua,ES,429103.13,77885153.17,C
1702554,Augustinópolis,TO,5691224.47,81471231.96,C
1500909,Augusto Corrêa,PA,6388601.57,227921833.97,C
3104809,Augusto de Lima,MG,0.0,39611978.68,C
4301503,Augusto Pestana,RS,2884259.4,50797960.28,A+
4301552,Áurea,RS,4683583.7,29740400.44,B
2902401,Aurelino Leal,BA,51152720.61,81640183.64,C
3504206,Auriflama,SP,4069969.67,76932533.5,n.d.
5202601,Aurilândia,GO,0.0,25732295.26,C
2301703,Aurora,CE,19753051.89,97050353.85,C
4201901,Aurora,SC,1399917.5,44335295.95,n.d.
1500958,Aurora do Pará,PA,9115389.12,128347031.51,C
1702703,Aurora do Tocantins,TO,1001453.03,23368078.89,C
1300300,Autazes,AM,200712.8,208146282.38,C
3504305,Avaí,SP,7209026.37,44423232.38,n.d.
3504404,Avanhandava,SP,2715442.12,69471857.42,n.d.
3504503,Avaré,SP,117551880.27,461707020.1,n.d.
1501006,Aveiro,PA,0.0,0.0,n.d.
2201101,Avelino Lopes,PI,4162107.1,59109709.46,C
5202809,Avelinópolis,GO,3230183.5,27397546.71,n.d.
2101103,Axixá,MA,244545.24,60387484.33,C
1702901,Axixá do Tocantins,TO,13396724.79,56784927.51,n.d.
1703008,Babaçulândia,TO,19913702.91,46530595.4,C
2101202,Bacabal,MA,113919352.74,558496794.27,B
2101251,Bacabeira,MA,0.0,99920670.05,C
2101301,Bacuri,MA,49842.26,86636973.57,C
2101350,Bacurituba,MA,74000.0,35753322.97,C
3504602,Bady Bassitt,SP,6881918.06,148776385.24,C
3104908,Baependi,MG,2379981.39,102405955.81,C
4301602,Bagé,RS,276058711.89,537227038.11,C
1501105,Bagre,PA,28424603.13,137016129.23,n.d.
2501401,Baía da Traição,PB,23735773.65,62469108.35,C
2401404,Baía Formosa,RN,8546948.25,50749606.25,B
2902500,Baianópolis,BA,23164169.33,84436499.17,B
1501204,Baião,PA,4947434.56,172341349.47,C
2902609,Baixa Grande,BA,9642165.12,86467942.0,C
2201150,Baixa Grande do Ribeiro,PI,6570565.84,146808700.78,C
2301802,Baixio,CE,27125526.06,39848322.14,C
3200805,Baixo Guandu,ES,17059587.36,174955128.4,A+
3504701,Balbinos,SP,8712272.44,24710497.03,C
3105004,Baldim,MG,5635214.34,36055301.34,B
5203104,Baliza,GO,1669874.24,31429061.83,n.d.
4201950,Balneário Arroio do Silva,SC,7947858.69,79825636.09,A
4202057,Balneário Barra do Sul,SC,8353142.24,81139784.8,A
4202008,Balneário Camboriú,SC,137616964.93,1488822138.92,A
4202073,Balneário Gaivota,SC,12319071.85,86333967.81,B
4212809,Balneário Piçarras,SC,38755241.44,296003823.37,A
4301636,Balneário Pinhal,RS,15486712.08,86143514.97,C
4220000,Balneário Rincão,SC,23584575.27,97859110.09,C
4102307,Balsa Nova,PR,5476638.24,91925936.98,n.d.
3504800,Bálsamo,SP,6232694.46,50567961.47,n.d.
2101400,Balsas,MA,53615995.88,555007279.51,B
3105103,Bambuí,MG,4174110.22,111727584.84,C
2301851,Banabuiú,CE,39201559.19,104826773.62,C
3504909,Bananal,SP,24229353.85,61127214.58,C
2501500,Bananeiras,PB,63345209.65,108958048.79,C
3105202,Bandeira,MG,24124640.86,32077438.03,B
3105301,Bandeira do Sul,MG,175777.85,33686274.76,C
4202081,Bandeirante,SC,3855617.58,30901467.4,B
4102406,Bandeirantes,PR,13757660.5,139746979.77,C
